no,brand_name,items_Decribtion,ratings,prices,Category
32,AMD,Intel Core i5-9400F Coffee Lake 6-Core 2.9 GHz (4.1 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I59400F Desktop Processor Without Graphics,26,"1,019.99",cpu
33,Intel,Intel Celeron G3900 Skylake Dual-Core 2.8 GHz LGA 1151 51W BX80662G3900 Desktop Processor Intel HD Graphics 510,544,"1,034.99",cpu
34,Intel,Intel Core i9-9940X Skylake X 14-Core 3.3 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99940X Desktop Processor,1,"1,239.73",cpu
35,AMD,Intel Core i5-9500 6-Core 3.0 GHz LGA 1151 (300 Series) 65W CM8068403362610 Desktop Processor Intel UHD Graphics 630 - OEM,198,472.99,cpu
36,Intel,AMD Ryzen 5 2600X Socket AM4 OEM Processor - YD260XBCM6IAF,42,918.38,cpu
37,AMD,"INTEL CM8068403654319 INTEL XEON E-2134 PROCESSOR (8M CACHE, 3.5 GHZ) LGA1151",628,"1,021.99",cpu
38,Intel,Intel Core i5-9500 Coffee Lake 6-Core 3.0 GHz (4.4 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i59500 Desktop Processor Intel UHD Graphics 630,828,"1,736.26",cpu
39,Intel,AMD RYZEN 5 2600 6-Core 3.4 GHz (3.9 GHz Max Boost) Socket AM4 65W YD2600BBAFBOX Desktop Processor,233,"4,901.99",cpu
40,Intel,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,198,"6,381.99",cpu
41,Intel,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,198,259.74,cpu
42,Intel,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,"1,177","1,111.19",cpu
43,Intel,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,706,"13,739.99",cpu
44,AMD,Intel Core i5-7500 Kaby Lake Quad-Core 3.4 GHz LGA 1151 65W BX80677I57500 Desktop Processor,706,"6,821.99",cpu
45,Intel,AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022 Desktop Processor – OEM - OEM,706,"9,074.99",cpu
46,AMD,Intel Core i7-9700KF Coffee Lake 8-Core 3.6 GHz (4.9 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I79700KF Desktop Processor Without Graphics,195,"1,542.38",cpu
47,Intel,Intel Xeon Gold 5122 4-Core Socket 3647 Processor CD8067303330702 - OEM/TRAY,26,383.35,cpu
48,Intel,Intel Xeon 5220 18 Core 2.20 GHz Processor LGA-3647 CD8069504214601,26,"1,405.54",cpu
49,Intel,"Intel Pentium Gold G5420 Coffee Lake Dual-Core, 4-Thread, 3.8 GHz LGA 1151 (300 Series) 54W BX80684G5420 Desktop Processor Intel UHD Graphics 610","1,158",562.71,cpu
50,AMD,Intel Core i5-8600K Coffee Lake 6-Core 3.6 GHz (4.3 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I58600K Desktop Processor Intel UHD Graphics 630,628,"3,015.99",cpu
51,Intel,Intel Corp. Xeon Gold 6150 Tray Processor (CD8067303328000),121,"1,278.57",cpu
52,AMD,AMD EPYC 7371 16-Core 32-Thread SP3 Server Processor PS7371BDVGPAF - OEM/TRAY,121,"1,054.83",cpu
53,AMD,Intel Xeon Gold 6234 8Core 3.30GHz Processor LGA-3647 OEM/4 Pack CD8069504283304,121,829.06,cpu
54,AMD,AMD RYZEN 7 1700X 8-Core 3.4 GHz (3.8 GHz Turbo) Socket AM4 95W YD170XBCAEWOF Desktop Processor,2,757.51,cpu
55,Intel,Intel Pentium G4500 Skylake Dual-Core 3.5 GHz LGA 1151 47W BX80662G4500 Desktop Processor Intel HD Graphics 530,42,"2,529.59",cpu
56,Intel,Intel Core i7-7700 Kaby Lake Quad-Core 3.6 GHz LGA 1151 65W BX80677I77700 Desktop Processor,26,"1,613.39",cpu
57,Intel,Intel Core i3-7100 Kaby Lake Dual-Core 3.9 GHz LGA 1151 51W BX80677I37100 Desktop Processor Intel HD Graphics 630,198,675.3,cpu
58,Intel,AMD RYZEN 7 3700X 8-Core 3.6 GHz (4.4 GHz Max Boost) Socket AM4 65W 100-100000071 Desktop Processor - OEM,619,"1,237.72",cpu
59,Intel,Intel Core i7-4790K Devil's Canyon Quad-Core 4.0 GHz LGA 1150 88W BX80646I74790K Desktop Processor Intel HD Graphics 4600,694,"1,829.72",cpu
60,Intel,AMD RYZEN 5 1600X 6-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD160XBCAEWOF Desktop Processor,16,"7,164.12",cpu
61,Intel,AMD RYZEN 5 1500X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W YD150XBBAEBOX Desktop Processor,71,"5,202.05",cpu
62,Intel,AMD RYZEN 5 1400 4-Core 3.2 GHz (3.4 GHz Turbo) Socket AM4 65W YD1400BBAEBOX Desktop Processor,16,"8,577.40",cpu
63,AMD,Intel Core i7-6850K Broadwell-E 6-Core 3.6 GHz LGA 2011-V3 140W BX80671I76850K Desktop Processor,1,389.99,cpu
64,Intel,Intel Core i7-9700 Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I79700 Desktop Processor Intel UHD Graphics 630,15,"1,986.42",cpu
65,Intel,Intel Core i3-9100 Coffee Lake 4-Core 3.6 GHz(4.2 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I39100 Desktop Processor Intel UHD Graphics 630,14,975.65,cpu
66,Intel,Intel Core i7-6700K 8M Skylake Quad-Core 4.0 GHz LGA 1151 91W BX80662I76700K Desktop Processor Intel HD Graphics 530,8,851.94,cpu
67,Intel,Intel Core i7-8700K Coffee Lake 6-Core 3.7 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I78700K Desktop Processor Intel UHD Graphics 630,99,"2,120.70",cpu
68,Intel,Intel Core i9-7960X Skylake X 16-Core 2.8 GHz LGA 2066 165W BX80673I97960X Desktop Processor,121,"1,728.98",cpu
69,Intel,Intel Core i9-7900X Skylake-X 10-Core 3.3 GHz LGA 2066 140W BX80673I97900X Desktop Processor,15,"5,362.69",cpu
70,Intel,Intel Core i9-7980XE Skylake X 18-Core 2.6 GHz LGA 2066 165W BX80673I97980X Desktop Processor,3,"1,623.44",cpu
71,Intel,Refurbished: NEVER USED AMD OEM TRAY FX-6300 Vishera 6-Core 3.5 GHz (4.1 GHz Turbo) Socket AM3+ 95W  Desktop Processor,62,"2,891.75",cpu
72,Intel,"Intel Core i9-9900KF Coffee Lake 8-Core, 16-Thread, 3.6 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I99900KF Desktop Processor Without Graphics",1,"1,973.30",cpu
73,Intel,Intel Core i5-9400 Coffee Lake 6-Core 2.9 GHz (4.1 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I59400 Desktop Processor Intel UHD Graphics 630,8,202.63,cpu
74,Intel,Intel Core i5-7400 Kaby Lake Quad-Core 3.0 GHz LGA 1151 65W BX80677I57400 Desktop Processor,4,"1,213.81",cpu
75,Intel,Intel Core i7-7700K Kaby Lake Quad-Core 4.2 GHz LGA 1151 91W BX80677I77700K Desktop Processor,2,181.99,cpu
76,Intel,Intel Core i7-4770K Haswell Quad-Core 3.5 GHz LGA 1150 84W BX80646I74770K Desktop Processor Intel HD Graphics,2,349.22,cpu
77,Intel,Intel Core i9-9920X Skylake X 12-Core 3.5 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99920X Desktop Processor,1,"4,232.86",cpu
78,Intel,Intel Core i7-6700 Skylake Quad-Core 3.4 GHz LGA 1151 65W BX80662I76700 Desktop Processor,1,637.78,cpu
79,Intel,Intel Core i9-9820X Skylake X 10-Core 3.3 GHz (4.1 GHz Turbo) LGA 2066 165W BX80673I99820X Desktop Processor,7,258.58,cpu
80,Intel,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,3,192.99,cpu
81,AMD,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,1,"2,445.77",cpu
82,Intel,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,48,"1,086.23",cpu
83,Intel,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,121,229.99,cpu
84,Intel,Intel Core i7-4790S Haswell Quad-Core 3.2 GHz LGA 1150 65W BX80646I74790S Desktop Processor Intel HD Graphics 4600,121,"3,907.34",cpu
85,Intel,Intel Celeron G4930 Coffee Lake Dual-Cor 3.2 GHz LGA 1151 (300 Series) 54W BX80684G4930 Desktop Processor Intel UHD Graphics 610,121,390.87,cpu
86,AMD,Intel Core i5-7640X Kaby Lake-X Quad-Core 4.0 GHz LGA 2066 112W BX80677I57640X Desktop Processor,121,150,cpu
87,Intel,Refurbished: Intel E8500 Wolfdale Dual-Core 3.167 GHz LGA 775 65W AT80570PJ0876M Desktop Processor,121,247.47,cpu
88,AMD,Intel Core i3-4130 Haswell Dual-Core 3.4 GHz LGA 1150 54W BX80646I34130 Desktop Processor Intel HD Graphics 4400,121,189.42,cpu
89,AMD,Intel Core i9-7920X Skylake X 12-Core 2.9 GHz LGA 2066 140W BX80673I97920X Desktop Processor,121,41.26,cpu
90,AMD,Intel Core i3-4340 Haswell Dual-Core 3.6 GHz LGA 1150 54W BX80646I34340 Desktop Processor Intel HD Graphics 4600,121,59.97,cpu
91,AMD,Intel Celeron G1820 Processor 2.7GHz LGA1150 CPU with Air CPU Cooler OEM,121,234.44,cpu
92,AMD,Refurbished: Intel Wolfdale Dual-Core 2.93 GHz LGA 775 65W Desktop ProcessorAT80571PH0773M never used. Replacement only.,121,112.49,cpu
93,AMD,AMD Ryzen 9 3900X Matisse 12-Core 3.8 GHz Socket AM4 105W 100-100000023BOX Desktop Processor,121,275.7,cpu
94,AMD,Intel Core i5-7500T Quad-core (4 Core) 2.70 GHz Processor - Socket H4 LGA-1151 Retail Pack - 1MB - 6MB Cache - 8 GT/s DMI - 64-bit Processing - 3.30 GHz Overclocking Speed - 14 nm,121,48.72,cpu
95,AMD,Refurbished: Intel Pentium G2140 Ivy Bridge Dual-Core 3.3 GHz LGA 1155 55W Desktop Processor Intel HD Graphics,121,63.76,cpu
96,Intel,"INTEL XEON PROCESSOR E5-2640 V4 (25M CACHE, 2.40 GHZ)",121,159.11,cpu
97,Intel,Intel Optane M.2 2280 32GB PCIe NVMe 3.0 x2 Memory Module/System Accelerator MEMPEK1W032GAXT,121,"1,014.82",cpu
98,AMD,Refurbished: AMD Phenom II X4 960T Zosma Quad-Core 3.0GHz (3.4GHz Turbo Boost) Socket AM3 95W HD96ZTWFK4DGR Desktop Processor,121,131.28,cpu
99,AMD,Refurbished: Intel Core i5-2400 Sandy Bridge Quad-Core 3.1 GHz (3.4 GHz Turbo Boost) LGA 1155 95W Desktop Processor Like New,121,48.72,cpu
100,AMD,Refurbished: AMD A10-5800K Trinity Quad-Core 3.8 GHz Socket FM2 AD580KWOA44HJ Desktop Processor,121,70.82,cpu
101,AMD,Refurbished: AMD Athlon II X2 245 Regor Dual-Core 2.9 GHz Socket AM3 65W ADX245OCK23GM Desktop Processor - OEM Grade A,121,55.81,cpu
102,AMD,Refurbished: AMD Athlon II X3 440 Rana Triple-Core 3.0 GHz Socket AM3 95W ADX440WFK32GM Desktop Processors,121,37.47,cpu
103,AMD,Refurbished: AMD AD7600YBJABOX A8-7600 Socket FM2+ Kaveri Quad-Core 3.1GHz CPU Processor,121,97.34,cpu
104,AMD,Refurbished: AMD Athlon II X4 620 Propus Quad-Core 2.6 GHz Socket AM3 95W ADX620WFK42GI DesktopProcessor,121,37.47,cpu
105,AMD,Refurbished: AMD Phenom II X6 1055T Thuban 6-Core 2.8GHz (3.3GHz Turbo Boost) Socket AM3 95W HDT55TWFK6DGR Desktop Processor,121,89.83,cpu
106,AMD,Refurbished: AMD Athlon 64 X2 4000+ Brisbane Dual-Core 2.1 GHz Socket AM2 65W ADO4000IAA5DD Processor,121,150,cpu
107,AMD,Refurbished: AMD Athlon II X 260 Regor Dual-Core 3.2 GHz Socket AM3 65W ADX260OCK23GM Desktop Processor,121,84.39,cpu
108,AMD,Refurbished: Intel Celeron G1820 Processor 2.7GHz 5.0GT/s 2MB LGA 1150 CPU BX80646G1820,121,84.39,cpu
109,AMD,Refurbished: Intel Core i5-7640X X-Series Processor 4 Cores up to 4.2 GHz Turbo Unlocked LGA2066 X299 Series 112W,121,131.28,cpu
110,AMD,Refurbished: AMD Athlon II X4 650 Propus Quad-Core 3.2 GHz Socket AM3 95W ADX650WFK42GM Desktop Processor,121,105.03,cpu
111,AMD,Refurbished: AMD Athlon 64 X2 4800+ Brisbane Dual-Core 2.5 GHz Socket AM2 65W ADO4800IAA5DO Processor,121,48.72,cpu
112,AMD,Refurbished: AMD Athlon 64 X2 5400+ Brisbane Dual-Core 2.8 GHz Socket AM2 65W ADO5400IAA5DO Desktop Processor,121,74.98,cpu
113,AMD,Refurbished: AMD Athlon II X2 255 Regor Dual-Core 3.1 GHz Socket AM3 65W ADX2550CK23GM Desktop Processor,121,37.47,cpu
114,AMD,Refurbished: AMD Athlon II X2 220 Regor Dual-Core 2.8 GHz Socket AM3 65W ADX220OCK22GM Desktop Processor,121,48.72,cpu
115,Intel,Refurbished: AMD Phenom 9650 Agena Quad-Core 2.3 GHz Socket AM2+ HD9650WCJ4BGH Desktop Processor,121,183.75,cpu
116,AMD,Refurbished: AMD Phenom 8650 Toliman Triple-Core 2.3 GHz Socket AM2+ 95W HD8650WCJ3BGH Desktop Processor,121,302.99,cpu
117,Intel,Refurbished: AMD Phenom 9600 Agena Quad-Core 2.3 GHz Socket AM2+ HD960ZWCJ4BGD Desktop Processor,121,"2,758.87",cpu
118,Intel,Refurbished: AMD Phenom X4 9750 Agena Quad-Core 2.4 GHz Socket AM2+ 95W HD9750WCJ4BGH Desktop Processor,121,"2,575.55",cpu
119,Intel,Refurbished: AMD Phenom X4 9550 Agena Quad-Core 2.2 GHz Socket AM2+ 95W HD9550WCJ4BGH Desktop Processor,121,2575.55,cpu
120,Intel,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,121,2575.55,cpu
121,Intel,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,121,2575.55,cpu
122,Intel,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,121,2575.55,cpu
123,Intel,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,121,2575.55,cpu
124,Intel,Refurbished: AMD Phenom X4 9500 Agena Quad-Core 2.2 GHz Socket AM2+ 95W HD9500WCJ4BGD Desktop Processor,121,2575.55,cpu
125,Intel,Refurbished: AMD Phenom II X4 830 Deneb Quad-Core 2.8 GHz Socket AM3 95W HDX830WFK4DGM Desktop Processor,121,2575.55,cpu
126,Intel,Refurbished: AMD Phenom II X4 820 Deneb Quad-Core 2.8 GHz Socket AM3 95W HDX820WFK4FGI Desktop Processor,121,2575.55,cpu
127,Intel,Refurbished: AMD Athlon 64 X2 4400+ Brisbane Dual-Core 2.3 GHz Socket AM2 ADO4400IAA5DD Processor,121,2575.55,cpu
128,Intel,Refurbished: AMD Athlon II X2 245e Regor Dual-Core 2.9 GHz Socket AM3 45W AD245EHDK23GM Desktop Processor,121,2575.55,cpu
129,Intel,Refurbished: AMD Phenom 8450 Toliman Triple-Core 2.1 GHz Socket AM2+ HD8450WCJ3BGH Desktop Processor,121,2575.55,cpu
130,Intel,Refurbished: AMD Athlon 64 X2 4200+ Brisbane Dual-Core 2.2 GHz Socket AM2 ADO4200IAA5DD Desktop Processor,121,2575.55,cpu
131,Intel,Refurbished: Intel Core 2 Duo E7200 Wolfdale-3M Dual-Core 2.53 GHz LGA 775 65W SLAPC Desktop Processor,121,2575.55,cpu
132,Intel,AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AD9600AGABBOX Desktop Processor Radeon R7,121,2575.55,cpu
133,Intel,Intel Core i7-7820X Skylake-X 8-Core 3.6 GHz LGA 2066 140W BX80673I77820X Desktop Processor,121,2575.55,cpu
134,Intel,Intel Xeon W2133 Processor Tray CD8067303533204,121,2575.55,cpu
135,Sapphire Tech,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,1,"1,058.99",gpu
136,MSI,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,2,"1,542.99",gpu
137,GIGABYTE,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,5,"1,096.99",gpu
138,Sapphire Tech,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,11,586.99,gpu
139,EVGA,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,1,"1,208.99",gpu
140,ASRock,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,20,756.99,gpu
141,GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,3,453.99,gpu
142,ASRock,SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,2,"1,021.99",gpu
143,EVGA,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",2,"1,511.99",gpu
144,MSI,"ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card, RX5500XT PGD 8GO",2,754.99,gpu
145,EVGA,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,1,794.99,gpu
146,MSI,ASRock Challenger D Radeon RX 5600 XT DirectX 12 RX5600XT CLD 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,1,"1,586.99",gpu
147,GIGABYTE,"EVGA GeForce RTX 2060 SUPER SC BLACK GAMING Video Card, 08G-P4-3062-KR, 8GB GDDR6, Dual Fans",2,"1,511.99",gpu
148,GIGABYTE,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT MECH 8G OC 8GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,18,"2,795.99",gpu
149,Sapphire Tech,"EVGA GeForce GTX 1660 BLACK GAMING Video Card, 06G-P4-1160-KR, 6GB GDDR5, Single Fan",2,"1,624.99",gpu
150,MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 VENTUS GP 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,103,"2,022.99",gpu
151,GIGABYTE,"GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N2070WF2-8GD (Rev 3.0) Video Card",34,868.99,gpu
152,Sapphire Tech,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WHITE-8GD Video Card",1,"1,700.99",gpu
153,MSI,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,14,679.99,gpu
154,GIGABYTE,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,1,791.99,gpu
155,MSI,"GIGABYTE GeForce GTX 1660 SUPER MINI ITX OC 6G Graphics Card, 170mm Compact Size, 6GB 192-Bit GDDR6, GV-N166SIXOC-6GD Video Card",4,680.99,gpu
156,GIGABYTE,"SAPPHIRE NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, SPECIAL EDITION",6,"1,058.99",gpu
157,Sapphire Tech,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT MECH 4G OC 4GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,40,"1,548.99",gpu
158,GIGABYTE,GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,72,604.99,gpu
159,Sapphire Tech,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,12,680.99,gpu
160,MSI,"GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TOC-6GD Video Card",2,"1,246.99",gpu
161,MSI,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,69,"1,431.99",gpu
162,MSI,"GIGABYTE GeForce GTX 1650 OC 4G Graphics Card, 2 x WINDFORCE Fans, 4GB 128-Bit GDDR5, GV-N1650OC-4GD Video Card",62,"1,504.99",gpu
